File Name,Shape,No IMFs,Time,RMSE,PSNR,SSIM,Variation Of Information,Adapted Rand Error
image_07442.jpg,"(667, 500)",9,87.65094709999994,0.0,52.358366761452835,0.9975810046933785,[0.9415263 0.9386091],"(0.4678757283163786, 0.5309937025165625, 0.5332596654423949)"
image_07441.jpg,"(638, 500)",9,104.53903889999947,0.0,51.78539920141186,0.9977573010429514,[0.98053401 0.97955636],"(0.4879639242748921, 0.5116357165165157, 0.5124370619932084)"
image_07440.jpg,"(667, 501)",10,97.59244299999955,0.0,51.57859941900544,0.9981022585030797,[0.98553515 0.98415287],"(0.49066432256117054, 0.5089706374378541, 0.5097012414379796)"
image_07439.jpg,"(500, 667)",8,92.60208330000023,0.0,52.12723116368143,0.997919187674379,[0.96036186 0.95958028],"(0.4747579312789506, 0.5250375688570175, 0.52544672795078)"
image_07438.jpg,"(500, 667)",8,71.4397613000001,0.0,52.05225206173522,0.9987130069914103,[0.9612431  0.96070005],"(0.47887330504858094, 0.5210836517324221, 0.5211697452820256)"
image_07437.jpg,"(667, 500)",9,66.25769350000155,0.0,51.82135864951394,0.9985852921564277,[0.97568857 0.95992001],"(0.476827497702901, 0.5148086805628002, 0.5318125772612754)"
image_07436.jpg,"(500, 667)",8,88.17539109999962,0.0,52.08113121699702,0.9977687976711965,[0.96288286 0.88091235],"(0.41059617194819353, 0.5109547393414497, 0.6963115485072302)"
image_07435.jpg,"(667, 500)",9,73.7714834999988,0.0,52.164420573126684,0.9987096127443409,[0.94390656 0.94624935],"(0.4649024699821489, 0.5355302698233054, 0.5346654890059175)"
image_07434.jpg,"(667, 500)",9,76.69976870000028,0.0,51.72746455819006,0.9979069652661751,[0.98316451 0.98235673],"(0.48971395208949964, 0.5102463621224189, 0.5103257398724006)"
image_07433.jpg,"(500, 751)",8,70.29407480000009,0.0,53.736404340912756,0.9979806546860029,[0.82930757 0.83012977],"(0.3509766632181116, 0.6492409184457563, 0.6488059009064903)"
image_07432.jpg,"(671, 500)",9,96.26224329999968,0.0,51.94366824302891,0.9982154570506462,[0.97193213 0.97236337],"(0.4823227789318335, 0.5178068469382072, 0.5175476600820142)"
image_07431.jpg,"(500, 755)",9,109.41471309999906,0.0,51.926092324337304,0.9976149496373746,[0.97606777 0.9730518 ],"(0.4839611415114917, 0.5148329645212685, 0.5172504148530149)"
image_07430.jpg,"(667, 500)",10,94.63825850000103,0.0,52.29135908897274,0.9987137946511201,[0.89581026 0.88817248],"(0.46013585085518915, 0.5342083434252151, 0.5456409953894478)"
image_07429.jpg,"(500, 667)",9,119.37389350000012,0.0,53.74555802505324,0.9989023897985768,[0.70791282 0.71707105],"(0.33234407103731733, 0.6681848709834685, 0.6671278237113966)"
image_07428.jpg,"(500, 667)",9,86.85096669999984,0.0,51.96570993407558,0.9977606515333552,[0.9698168  0.96918497],"(0.4839510206981844, 0.51584629164253, 0.5162518263048298)"
image_07427.jpg,"(500, 667)",9,73.66609609999978,0.0,52.11789367037797,0.9987573814561158,[0.95933502 0.9562523 ],"(0.4748639910712812, 0.5248055226838412, 0.5254669116706665)"
image_07426.jpg,"(501, 523)",9,81.25954679999995,0.0,51.894195033813155,0.9972732950779895,[0.97947433 0.96623193],"(0.48572864470513066, 0.5108575406387542, 0.5177311026521277)"
image_07425.jpg,"(604, 500)",9,65.82505689999925,0.0,51.901119255931356,0.9984721918249075,[0.97120357 0.97021259],"(0.48284146815711093, 0.516964346595915, 0.5173528630267339)"
image_07424.jpg,"(500, 667)",8,78.30008330000055,0.0,52.15862264391567,0.9984009680580298,[0.95710957 0.95664701],"(0.47788834169199135, 0.5220676424276112, 0.5221556816110501)"
image_07423.jpg,"(667, 500)",9,60.65371239999877,0.0,51.843101207908155,0.9990503195274156,[0.9711383 0.9613101],"(0.47896104978659604, 0.5174288818159533, 0.5246997469746045)"
