IMF Spot,Mean Frequency,Variance Frequency,Rows,Cols,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,Interpolation Method
IMF 7,7530.493954454099,4508426349.256401,485.0,728.0,1897.1937243081534,5.2637895608447336e+16,1.2613021257581923e+24,72.97183614107126,7604.5738254948255,38.2705887331518,527184.3052317129,169250200.58052054,Lanczos4
IMF 8,3713.0442590063035,749509029.3557613,485.0,728.0,936.0719639150883,739701579014001.9,1.776334981756748e+21,13.247905466441836,1986.3139110986035,0.0,323971.70835142396,63248124.69713218,Bicubic
IMF 9,525.3250142314591,9883190.93329861,485.0,728.0,130.3062533768308,508356771285.4678,2.969124259514335e+16,0.17498253516368906,28.74234277511537,0.0,5524.251095569366,1152839.5215220551,Gaussian
IMF 10,9.0869762046759e-12,2.262434421335712e-23,485.0,728.0,8.52684823384088e-12,6.867656676988005e-35,1.6640015558339076e-45,-3.125277185440794e-17,2.9794136142473388e-28,0.0,-1.902090900489014e-43,5.6589530843718234e-55,Gaussian
IMF 1,4324.793134418886,18671751.6641498,194.0,259.0,3147.707079228411,361592694566.87775,1.6168706056015588e+16,-0.5204530564453941,743.5811231960339,-0.039887262465082174,-53391.79414597836,37537402.172556855,Lanczos4
IMF 2,3959.662947887854,26930015.12249889,194.0,259.0,1774.3524038520407,416074116790.98425,1.2590608860306502e+16,0.8027536447259016,847.3623091782214,0.05639386368697402,183056.61013316625,176630892.99223033,Lanczos4
IMF 3,3425.6708017872193,43496973.70657233,194.0,259.0,1140.7380183922994,1327842250247.4805,6.683705439433642e+16,1.381475658763754,1097.3271686134822,0.09626760979272513,195933.63299502688,97282248.82533498,Bicubic
IMF 4,3682.4973868019642,103609555.54873917,194.0,259.0,1102.007775118634,7741785380441.053,8.847245146687492e+17,3.9957029763769305,2315.968094789065,1.011470910020282,-436175.0772652543,432504990.225946,Bicubic
IMF 5,3582.968834975614,285889276.6005413,194.0,259.0,975.9607960025937,207049784394796.47,3.573771292431035e+20,40.75204769676944,4284.5586368796585,22.84603107859828,243117.09733663977,88437226.34961073,Lanczos4
IMF 6,2847.3037035389093,308079629.7346205,194.0,259.0,764.3070243117314,364258290461421.6,8.424255941049537e+20,50.654923986000355,3726.853585712743,31.142727470502034,96479.40800955216,40134102.48181269,Lanczos4
IMF 7,1158.8831684312447,43779051.84016272,194.0,259.0,306.8932320025825,5393773629877.759,1.0628049506685082e+18,8.209391946971456,830.6288516243237,0.0,91384.8413785874,12162025.628045375,Bicubic
IMF 8,2.5910270022134683e-12,1.822328197456603e-24,194.0,259.0,2.4356081148423704e-12,1.5296985805245816e-36,1.0660994060804652e-47,-6.275192831141673e-17,1.698752391181519e-28,0.0,-6.638698814773482e-44,2.091322422971782e-55,Gaussian
IMF 1,9133.613289744182,35229710.54732782,562.0,750.0,7920.925810893376,296180288715.9224,8026987926560933.0,0.014206611281594337,281.50063393475665,0.048237945226365264,-1993.0682280051885,1112887.9598322285,Lanczos4
IMF 2,6287.703124580988,57084800.25263871,562.0,750.0,2778.9937951125457,891241702423.89,3.021525665238341e+16,-0.01335102184040788,229.22879170396263,0.010110053899485829,1466.5491291218154,2098321.8632813026,Lanczos4
IMF 3,4732.557329772074,74298803.54977073,562.0,750.0,1201.0754596056215,2681726896012.164,2.079758486814469e+17,0.09892091695689592,229.3992358368861,0.01577284781194116,1762.7490378685693,980995.3469088044,Lanczos4
IMF 4,3880.035727639815,90651229.11863336,562.0,750.0,1013.7665294996408,5317164527833.467,6.225943352251973e+17,0.28644553712223714,250.7030174391853,0.012373744890343595,9019.701570978028,2654211.1721011307,Lanczos4
IMF 5,3381.007577536265,121710316.56951828,562.0,750.0,965.3710417309952,20960795205507.29,9.13720607111368e+18,0.8246339903693805,315.19549197024526,0.12750921265493684,13659.6162679913,3104487.7629053495,Bicubic
IMF 6,3539.704421368236,234957812.75028035,562.0,750.0,955.3370834071443,70754664308174.62,5.697249297281328e+19,0.2498074619228224,587.0961256292019,-0.012436100180085707,25664.01430548757,6822513.699686812,Bicubic
IMF 7,6477.62171882323,2390909168.282044,562.0,750.0,1575.0701203761207,7790990332732107.0,7.650348077580477e+22,31.26228620284873,4794.600069708575,8.992609866940281,466315.8932769324,104919933.6637553,Bicubic
IMF 8,6642.834165508935,5239741063.150293,562.0,750.0,1597.2270523929972,9.301097478663651e+16,2.84761720727599e+24,78.02067786659342,6448.641699260378,60.09857199298629,309762.0332337437,95770411.28231546,Lanczos4
IMF 9,3628.2153924372296,794959549.1784655,562.0,750.0,879.9197361462583,830816695565793.4,2.430183931920866e+21,12.903549184448776,1750.7546369792292,0.0,263090.2486909741,48041545.1708775,Bicubic
IMF 10,9.78312568650313e-12,2.6114247706250728e-23,562.0,750.0,9.195051055775001e-12,8.490042356679662e-35,2.2217914257837595e-45,6.326611832283881e-17,2.8902042421717647e-28,0.0,5.710033297160585e-44,4.8066098083642284e-55,Gaussian
IMF 1,4463.721579878087,32637573.65280409,375.0,500.0,2650.7252263613664,777545088403.6741,3.530314683759768e+16,-0.6845744508645191,279.86407246374847,-0.032409805353697696,-33798.934391435076,15324976.58111984,Lanczos4
IMF 2,4375.862799176464,49527173.6901627,375.0,500.0,1546.0995247151122,1188426658496.4294,4.3577942691655256e+16,0.10904815668417672,366.2566361122129,-0.007340521939991478,45282.210868511065,41037802.77257325,Lanczos4
IMF 3,4213.796584735395,68544671.35127214,375.0,500.0,1399.621779389689,2341579411807.2183,1.1534405432102605e+17,0.29293798596020065,460.1848700499809,0.024666127476739297,90567.34290767918,53268099.59200544,Lanczos4
IMF 4,3661.014083091288,86988264.37712455,375.0,500.0,1119.827537293603,5495188263525.479,5.94502727115684e+17,1.2523876951014068,533.8517303609841,0.08017568861168778,38450.45837437916,12784951.61984981,Bicubic
IMF 5,4542.950233586425,212824579.61813423,375.0,500.0,1390.1596723584396,30008257589709.89,8.315268499604585e+18,2.3173605440855702,1239.7657144712605,0.2542710824346551,83818.90657181868,48345790.42402092,Bicubic
IMF 6,5300.585574549381,736285666.9829649,375.0,500.0,1435.484221764258,648492613070706.8,1.6942619271356788e+21,21.76585634721724,3602.950827691428,9.804600348029087,167951.9177012771,78609466.15358858,Bilinear
